127.0.0.1 - - [19/May/2017:12:55:47 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/May/2017:12:55:51 +0530] "GET /minor/userlogin.jsp HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [19/May/2017:12:56:18 +0530] "POST /minor/userloginconn.jsp HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [19/May/2017:12:57:38 +0530] "GET /minor/userlogin.jsp HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [19/May/2017:12:58:02 +0530] "POST /minor/userloginconn.jsp HTTP/1.1" 500 3753
0:0:0:0:0:0:0:1 - - [19/May/2017:13:00:05 +0530] "GET /minor/userlogin.jsp HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [19/May/2017:13:00:23 +0530] "POST /minor/userloginconn.jsp HTTP/1.1" 500 3852
0:0:0:0:0:0:0:1 - - [19/May/2017:13:07:03 +0530] "GET /minor/userlogin.jsp HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [19/May/2017:13:07:27 +0530] "POST /minor/userloginconn.jsp HTTP/1.1" 500 3855
0:0:0:0:0:0:0:1 - - [19/May/2017:13:09:38 +0530] "GET /minor/userlogin.jsp HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [19/May/2017:13:10:09 +0530] "POST /minor/userloginconn.jsp HTTP/1.1" 500 3753
