0:0:0:0:0:0:0:1 - - [31/May/2017:23:50:58 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [31/May/2017:23:51:04 +0530] "POST /minor/feedbackform.jsp HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [31/May/2017:23:51:14 +0530] "POST /minor/feedbackconn.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [31/May/2017:23:51:16 +0530] "GET /minor/profile.jsp HTTP/1.1" 200 3682
0:0:0:0:0:0:0:1 - - [31/May/2017:23:51:29 +0530] "GET /minor/change_pass.jsp HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [31/May/2017:23:51:40 +0530] "POST /minor/change_passconn.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [31/May/2017:23:51:45 +0530] "GET /minor/change_pass.jsp HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:03 +0530] "POST /minor/change_passconn.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:06 +0530] "GET /minor/profile.jsp HTTP/1.1" 200 3682
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:08 +0530] "GET /minor/history.jsp HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:13 +0530] "GET /minor/profile.jsp HTTP/1.1" 200 3682
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:15 +0530] "GET /minor/welcome.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:18 +0530] "GET /minor/profile.jsp HTTP/1.1" 200 3682
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:26 +0530] "GET /minor/booking_page.jsp HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:42 +0530] "POST /minor/booking_conn.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:44 +0530] "GET /minor/profile.jsp HTTP/1.1" 200 3682
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:50 +0530] "GET /minor/signout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:50 +0530] "GET /minor/login1.jsp HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [31/May/2017:23:52:52 +0530] "GET /minor/userlogin.jsp HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [31/May/2017:23:53:15 +0530] "POST /minor/userloginconn.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [31/May/2017:23:53:20 +0530] "GET /minor/login1.jsp HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [31/May/2017:23:58:09 +0530] "POST /minor/conn.jsp HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [31/May/2017:23:58:09 +0530] "GET /minor/adminprofile.jsp HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [31/May/2017:23:58:14 +0530] "GET /minor/admin_feedback_his.jsp HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [31/May/2017:23:58:27 +0530] "GET /minor/booking_history.jsp HTTP/1.1" 200 15886
